Node Number =   5620
  289.24843666   42.22699820   15.48300000
  289.25228032   42.22791353   15.95300000
  289.25612409   42.22882873   16.42300000
  289.25953836   42.22969664   15.84800000
  289.26365434   42.23067597   15.27300000
  289.26830826   42.23179735   16.25800000
  289.27275777   42.23276449   17.24200000
  289.27793091   42.23411760   19.08400000
  289.28347036   42.23516612   20.93000000
  289.28903435   42.23620099   21.14000000
  289.29587845   42.23631429   21.36000000
  289.30179240   42.23321782   21.69900000
  289.30571118   42.22961672   22.04300000
  289.30831138   42.22574838   21.66000000
  289.31091126   42.22187996   21.27700000
  289.31340988   42.21776795   21.58400000
  289.31590816   42.21365588   21.89100000
  289.31808845   42.20988894   21.81100000
  289.32026848   42.20612195   21.73200000
  289.32200032   42.20234392   20.45500000
  289.32373195   42.19856585   19.17900000
  289.32478464   42.19412303   19.29200000
  289.32546961   42.19022776   19.40500000
  289.32484713   42.18632669   19.11000000
  289.32301544   42.18227619   18.81400000
  289.31954139   42.17928067   17.27600000
  289.31439175   42.17697072   15.73700000
  289.30966772   42.17593191   14.84100000
  289.30541062   42.17552527   13.94400000
  289.30126356   42.17499294   13.78600000
  289.29758782   42.17455269   13.62700000
  289.29417679   42.17430263   12.84400000
  289.29144424   42.17397465   12.06000000
  289.28830577   42.17370319    9.55800000
  289.28510822   42.17326931    7.05600000
  289.28494037   42.17518616    7.76000000
  289.28812572   42.17564249   10.28400000
  289.29117339   42.17592703   11.65600000
  289.29400286   42.17625547   12.44000000
  289.29731617   42.17662212   13.61600000
  289.30061577   42.17718667   13.77500000
  289.30455728   42.17770908   14.72400000
  289.30828129   42.17819434   15.62000000
  289.31242611   42.17903251   15.88000000
  289.31623814   42.18061629   16.91300000
  289.31906006   42.18341091   18.45200000
  289.32033153   42.18635160   18.90300000
  289.32088343   42.18996428   19.19800000
  289.32039152   42.19390541   19.52000000
  289.31939691   42.19786679   19.40700000
  289.31743645   42.20146369   19.43100000
  289.31570437   42.20524166   20.70700000
  289.31399928   42.20865509   21.28900000
  289.31181879   42.21242196   21.36800000
  289.30973433   42.21626124   21.36600000
  289.30723554   42.22037317   21.05900000
  289.30521142   42.22344739   20.64900000
  289.30261113   42.22731567   21.03200000
  289.29909118   42.23030632   21.28400000
  289.29421488   42.23320046   20.94000000
  289.28885657   42.23292307   20.72500000
  289.28391881   42.23235034   20.02200000
  289.27876853   42.23115517   18.18000000
  289.27394416   42.23011441   16.44100000
  289.26937289   42.22923675   15.45700000
  289.26460939   42.22819589   14.46300000
  289.26040775   42.22732870   15.03800000
  289.25672580   42.22660352   15.38200000
  289.25288216   42.22568834   14.91200000
  289.24949242   42.22482036   15.07000000
  289.24653906   42.22616283   -1.38900000
  289.28237833   42.17403950  -10.44700000
  289.28229783   42.17271657   -2.85000000
  289.28779526   42.17747754    9.88100000
  289.28477251   42.17710301    8.50800000
  289.28205232   42.17534338  -17.51600000
  289.29065306   42.17782681   10.66200000
  289.29330884   42.17816085   11.25300000
  289.29671741   42.17872603   12.42900000
  289.29992194   42.17909210   13.60600000
  289.30364464   42.17973956   14.55500000
  289.30684665   42.18042052   15.50300000
  289.31036254   42.18121087   15.76300000
  289.31299417   42.18208712   17.05600000
  289.31562851   42.18412473   18.08900000
  289.31638245   42.18667599   18.54000000
  289.31661203   42.18970204   18.99100000
  289.31596989   42.19347591   19.31300000
  289.31506197   42.19716756   19.63500000
  289.31310129   42.20076439   19.65900000
  289.31114038   42.20436118   19.68300000
  289.30943508   42.20777455   20.26400000
  289.30772958   42.21118789   20.85000000
  289.30564492   42.21502710   20.84400000
  289.30356000   42.21886626   20.84200000
  289.30153575   42.22194041   20.43200000
  289.29951130   42.22501453   20.02200000
  289.29689689   42.22764020   20.27300000
  289.29350814   42.23012713   20.52500000
  289.28940367   42.22987366   19.82200000
  289.28383828   42.22906388   19.11800000
  289.27932617   42.22833994   17.37900000
  289.27480205   42.22761577   15.64000000
  289.26986764   42.22672735   14.64700000
  289.26517611   42.22578591   13.65400000
  289.26100930   42.22510347   13.99700000
  289.25645702   42.22419388   14.34000000
  289.25325427   42.22341247   14.50000000
  289.24685286   42.22405064   -3.78300000
  289.24782090   42.22258450   -8.22100000
  289.25054678   42.22278655    0.01300000
  289.24500803   42.22530726   -1.80900000
  289.28018209   42.17398122   -3.35200000
  289.27962608   42.17250924   -3.53000000
  289.28965018   42.17995048    9.17900000
  289.28666865   42.17955368    4.81700000
  289.28436287   42.17959595   -6.04000000
  289.28287845   42.17819771  -13.69700000
  289.28163837   42.17701595  -11.39100000
  289.27940050   42.17547465   -4.79000000
  289.29245878   42.18047423   11.52300000
  289.29516520   42.18092091   13.06700000
  289.29818000   42.18154812   13.27200000
  289.30140022   42.18222662   14.92500000
  289.30472155   42.18298202   15.78700000
  289.30910166   42.18438318   16.47400000
  289.31238368   42.18567657   17.68300000
  289.31219659   42.18929493   18.26900000
  289.31136939   42.19272133   18.90500000
  289.31007222   42.19586648   19.19700000
  289.30869983   42.19930836   19.29100000
  289.30730375   42.20257419   18.36800000
  289.30570307   42.20585781   18.98900000
  289.30375934   42.20950407   19.28000000
  289.30191120   42.21327678   19.52700000
  289.29933869   42.21674899   19.67300000
  289.29744666   42.21992722   18.89900000
  289.29477658   42.22341688   18.93400000
  289.29156035   42.22699392   18.92400000
  289.28654810   42.22668204   17.99500000
  289.28207035   42.22620145   17.17300000
  289.27827263   42.22553493   16.79100000
  289.27479717   42.22500939   16.29000000
  289.27014974   42.22429073   14.33200000
  289.26569665   42.22352334   11.37800000
  289.25914184   42.22332506    7.50500000
  289.26157076   42.22261695   13.70200000
  289.25564701   42.22269531    5.80500000
  289.25750154   42.22255158    5.91200000
  289.25226181   42.22147811   -1.76500000
  289.25391650   42.22186011    3.65200000
  289.24449272   42.22319857  -19.13800000
  289.24570716   42.22181204  -19.51600000
  289.24723910   42.22053246  -13.26100000
  289.24889765   42.22088303   -7.29800000
  289.25073379   42.22102291   -1.49800000
  289.24338654   42.22440109   -7.94100000
  289.27752965   42.17405213   -3.53500000
  289.27718202   42.17242449   -3.20900000
  289.29099834   42.18281533   10.46800000
  289.28819031   42.18221502    6.59400000
  289.28561651   42.18168959    4.89200000
  289.28327934   42.18101499   -6.10000000
  289.28216221   42.17958755  -18.05300000
  289.28107889   42.17857799  -12.11100000
  289.27961269   42.17723487   -3.91500000
  289.27817851   42.17666705   -3.58400000
  289.27676903   42.17549343   -3.48600000
  289.29380751   42.18328863   12.97700000
  289.29695748   42.18411998   15.07900000
  289.30018685   42.18487508   15.51700000
  289.30404372   42.18616867   17.08600000
  289.30828565   42.18790864   17.23100000
  289.30754367   42.19125437   19.14000000
  289.30557621   42.19490957   18.09500000
  289.30472692   42.19802970   18.79800000
  289.30384527   42.20066352   18.94900000
  289.30247831   42.20340312   17.00300000
  289.30085558   42.20630357   17.34800000
