Node Number =   5620
  289.24843666   42.22699820   42.22699800
  289.25228032   42.22791353   42.22791400
  289.25612409   42.22882873   42.22882900
  289.25953836   42.22969664   42.22969700
  289.26365434   42.23067597   42.23067600
  289.26830826   42.23179735   42.23179700
  289.27275777   42.23276449   42.23276400
  289.27793091   42.23411760   42.23411800
  289.28347036   42.23516612   42.23516600
  289.28903435   42.23620099   42.23620100
  289.29587845   42.23631429   42.23631400
  289.30179240   42.23321782   42.23321800
  289.30571118   42.22961672   42.22961700
  289.30831138   42.22574838   42.22574800
  289.31091126   42.22187996   42.22188000
  289.31340988   42.21776795   42.21776800
  289.31590816   42.21365588   42.21365600
  289.31808845   42.20988894   42.20988900
  289.32026848   42.20612195   42.20612200
  289.32200032   42.20234392   42.20234400
  289.32373195   42.19856585   42.19856600
  289.32478464   42.19412303   42.19412300
  289.32546961   42.19022776   42.19022800
  289.32484713   42.18632669   42.18632700
  289.32301544   42.18227619   42.18227600
  289.31954139   42.17928067   42.17928100
  289.31439175   42.17697072   42.17697100
  289.30966772   42.17593191   42.17593200
  289.30541062   42.17552527   42.17552500
  289.30126356   42.17499294   42.17499300
  289.29758782   42.17455269   42.17455300
  289.29417679   42.17430263   42.17430300
  289.29144424   42.17397465   42.17397500
  289.28830577   42.17370319   42.17370300
  289.28510822   42.17326931   42.17326900
  289.28494037   42.17518616   42.17518600
  289.28812572   42.17564249   42.17564200
  289.29117339   42.17592703   42.17592700
  289.29400286   42.17625547   42.17625500
  289.29731617   42.17662212   42.17662200
  289.30061577   42.17718667   42.17718700
  289.30455728   42.17770908   42.17770900
  289.30828129   42.17819434   42.17819400
  289.31242611   42.17903251   42.17903300
  289.31623814   42.18061629   42.18061600
  289.31906006   42.18341091   42.18341100
  289.32033153   42.18635160   42.18635200
  289.32088343   42.18996428   42.18996400
  289.32039152   42.19390541   42.19390500
  289.31939691   42.19786679   42.19786700
  289.31743645   42.20146369   42.20146400
  289.31570437   42.20524166   42.20524200
  289.31399928   42.20865509   42.20865500
  289.31181879   42.21242196   42.21242200
  289.30973433   42.21626124   42.21626100
  289.30723554   42.22037317   42.22037300
  289.30521142   42.22344739   42.22344700
  289.30261113   42.22731567   42.22731600
  289.29909118   42.23030632   42.23030600
  289.29421488   42.23320046   42.23320000
  289.28885657   42.23292307   42.23292300
  289.28391881   42.23235034   42.23235000
  289.27876853   42.23115517   42.23115500
  289.27394416   42.23011441   42.23011400
  289.26937289   42.22923675   42.22923700
  289.26460939   42.22819589   42.22819600
  289.26040775   42.22732870   42.22732900
  289.25672580   42.22660352   42.22660400
  289.25288216   42.22568834   42.22568800
  289.24949242   42.22482036   42.22482000
  289.24653906   42.22616283   42.22616300
  289.28237833   42.17403950   42.17403900
  289.28229783   42.17271657   42.17271700
  289.28779526   42.17747754   42.17747800
  289.28477251   42.17710301   42.17710300
  289.28205232   42.17534338   42.17534300
  289.29065306   42.17782681   42.17782700
  289.29330884   42.17816085   42.17816100
  289.29671741   42.17872603   42.17872600
  289.29992194   42.17909210   42.17909200
  289.30364464   42.17973956   42.17974000
  289.30684665   42.18042052   42.18042100
  289.31036254   42.18121087   42.18121100
  289.31299417   42.18208712   42.18208700
  289.31562851   42.18412473   42.18412500
  289.31638245   42.18667599   42.18667600
  289.31661203   42.18970204   42.18970200
  289.31596989   42.19347591   42.19347600
